Status code,Method,Version,Scheme,Request Length,Response Length,Request Entropy,Response Entropy,Client Connection,Server Connection
200, 1, 4, 2, 0, 4096, 1.0, 7.943530971611707, 608308576, 4249852399
200, 1, 4, 2, 0, 1266276, 1.0, 7.999185330678254, 1919618934, 4249852399
200, 1, 4, 2, 0, 460525, 1.0, 7.99072369306345, 1919618934, 4249852399
200, 1, 4, 2, 0, 1759036, 1.0, 7.999490843495158, 1919618934, 4249852399
200, 1, 8, 2, 0, 74782, 1.0, 7.98420419034775, 618008705, 4045080730
101, 1, 4, 2, 0, 0, 1.0, 1.0, 3783406308, 942854252
200, 4, 8, 2, 1115, 28, 5.638497797936661, 3.797902689682947, 3912568961, 3630264318
200, 1, 8, 2, 0, 74575, 1.0, 7.984703436618428, 618008705, 4045080730
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
101, 1, 4, 2, 0, 0, 1.0, 1.0, 1309422575, 3190868945
200, 1, 8, 2, 0, 2093, 1.0, 7.892122500217489, 2828415983, 625848636
200, 4, 8, 2, 531, 28, 5.337475391797508, 3.797902689682947, 3912568961, 3630264318
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
401, 1, 4, 2, 0, 54, 1.0, 4.172925984289016, 1149178519, 3783471725
200, 4, 8, 2, 528, 28, 5.336414089349316, 3.797902689682947, 3912568961, 3630264318
200, 64, 4, 2, 0, 0, 1.0, 1.0, 3372757544, 1142969203
200, 4, 4, 2, 451, 15, 4.836692496629036, 3.106890595608518, 3372757544, 1142969203
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1608987443, 1745459005
200, 1, 4, 2, 0, 53, 1.0, 4.88774451092205, 1608987443, 1745459005
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
200, 4, 4, 2, 341, 230, 5.299303811336527, 4.903415664730984, 1149178519, 3783471725
200, 1, 4, 2, 0, 59242, 1.0, 4.964530232504578, 1149178519, 3783471725
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
200, 1, 4, 2, 0, 1395, 1.0, 4.914427187925043, 1149178519, 3783471725
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
200, 1, 4, 2, 0, 11674, 1.0, 4.5312299254865644, 1149178519, 3783471725
200, 4, 4, 2, 632, 15, 4.894377420334852, 3.106890595608518, 3372757544, 1142969203
200, 1, 4, 2, 0, 70427, 1.0, 7.995070928945537, 608318526, 2392831996
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
200, 1, 4, 2, 0, 4704, 1.0, 4.849959377456382, 1149178519, 3783471725
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
200, 1, 4, 2, 0, 344229, 1.0, 7.976356006079601, 608318526, 2392831996
200, 64, 4, 2, 0, 0, 1.0, 1.0, 1149178519, 3783471725
200, 1, 4, 2, 0, 44, 1.0, 4.481714572986072, 1149178519, 3783471725
200, 4, 4, 2, 457, 15, 4.867113982143333, 3.106890595608518, 3372757544, 1142969203
200, 1, 8, 2, 0, 4212, 1.0, 7.558900331847523, 3776984047, 2916335840
200, 4, 8, 2, 531, 28, 5.333131688433183, 3.797902689682947, 3912568961, 3630264318
200, 1, 4, 2, 0, 1873995, 1.0, 7.99762391494876, 1919618934, 4249852399
200, 1, 4, 2, 0, 4096, 1.0, 7.947869359276739, 3610326078, 1895301044
200, 1, 8, 2, 0, 3214, 1.0, 7.890718736731889, 2828415983, 625848636
200, 1, 4, 2, 0, 1835570, 1.0, 7.99875310518588, 3610326078, 1895301044
200, 1, 4, 2, 0, 463389, 1.0, 7.990262802530955, 1919628884, 1895301044
200, 4, 4, 2, 578, 15, 4.7940590620100805, 3.106890595608518, 3372757544, 1142969203
200, 1, 8, 2, 0, 428554, 1.0, 5.984367741929113, 618018655, 2147890902
200, 1, 8, 2, 0, 43, 1.0, 3.1629319051101903, 618018655, 2147890902
200, 1, 8, 2, 0, 17469, 1.0, 7.980858266867489, 618018655, 2147890902
200, 1, 8, 2, 0, 718942, 1.0, 5.4942724308503115, 618018655, 2147890902
200, 1, 8, 2, 0, 1728, 1.0, 5.529550087432666, 618018655, 2147890902
200, 1, 8, 2, 0, 2076, 1.0, 5.2402386157586145, 618018655, 2147890902
200, 1, 8, 2, 0, 4546, 1.0, 6.022796266997741, 618018655, 2147890902
200, 1, 8, 2, 0, 12602, 1.0, 5.4200794430474835, 618018655, 2147890902
200, 1, 8, 2, 0, 24253, 1.0, 5.45845700243729, 618018655, 2147890902
200, 1, 8, 2, 0, 42606, 1.0, 6.0592344300442305, 618018655, 2147890902
200, 1, 8, 2, 0, 775, 1.0, 5.287700332274003, 618018655, 2147890902
200, 1, 8, 2, 0, 1396, 1.0, 5.138244405973631, 618018655, 2147890902
200, 1, 8, 2, 0, 3521, 1.0, 5.543054902348646, 618018655, 2147890902
200, 1, 8, 2, 0, 1935, 1.0, 5.305315319985534, 618018655, 2147890902
200, 1, 8, 2, 0, 55552, 1.0, 5.764092770332999, 3912578911, 1121549758
200, 1, 4, 2, 0, 1772165, 1.0, 7.998774268727387, 3610326078, 1895301044
200, 4, 8, 2, 530, 28, 5.327161489138644, 3.797902689682947, 3912568961, 3630264318
200, 1, 8, 2, 0, 279790, 1.0, 4.54239087357186, 2802329677, 1130914877
200, 1, 4, 2, 0, 14, 1.0, 3.6644977792004623, 3783403597, 1223761864
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
304, 1, 4, 2, 0, 0, 1.0, 1.0, 1309419864, 2748278021
200, 1, 4, 2, 0, 1858923, 1.0, 7.997411069117755, 3610326078, 1895301044
304, 1, 4, 2, 0, 0, 1.0, 1.0, 608318526, 2392831996
200, 1, 8, 2, 0, 1026, 1.0, 7.491609650905427, 2828415983, 625848636
200, 4, 4, 2, 458, 15, 4.78719782257209, 3.106890595608518, 3372757544, 1142969203
304, 1, 4, 2, 0, 0, 1.0, 1.0, 608318526, 2392831996
200, 4, 4, 2, 464, 15, 4.88311393647935, 3.106890595608518, 3372757544, 1142969203
200, 1, 4, 2, 0, 1768402, 1.0, 7.998461704959821, 3610326078, 1895301044
200, 1, 8, 2, 0, 22453, 1.0, 7.71189811751087, 3776984047, 2916335840
200, 1, 4, 2, 0, 468991, 1.0, 7.990858616391451, 1919628884, 1895301044
200, 1, 8, 2, 0, 3122, 1.0, 7.716615741588755, 2828415983, 625848636
200, 4, 8, 2, 528, 28, 5.334655984487712, 3.797902689682947, 3912568961, 3630264318
200, 1, 4, 2, 0, 65536, 1.0, 7.987950726208695, 3610326078, 1895301044
200, 1, 8, 2, 0, 78507, 1.0, 7.98283841436267, 618008705, 4045080730
200, 1, 4, 2, 0, 665277, 1.0, 7.998842028529385, 3610326078, 1895301044
200, 1, 4, 2, 0, 65536, 1.0, 7.987950726208695, 1919628884, 1895301044
200, 1, 8, 2, 0, 69884, 1.0, 7.986111897840649, 618008705, 4045080730
200, 1, 4, 2, 0, 65536, 1.0, 7.989291205516925, 3610326078, 1895301044
200, 1, 4, 2, 0, 665277, 1.0, 7.997388476039108, 3610326078, 1895301044
200, 1, 4, 2, 0, 65536, 1.0, 7.988912300639754, 1919628884, 1895301044
200, 1, 4, 2, 0, 1082252, 1.0, 7.997730620239074, 3610326078, 1895301044
200, 1, 4, 2, 0, 93702, 1.0, 7.989657469718043, 3610326078, 1895301044
200, 1, 4, 2, 0, 168723, 1.0, 7.990017603388799, 3610326078, 1895301044
200, 1, 4, 2, 0, 1827995, 1.0, 7.998606820445261, 3610326078, 1895301044
200, 1, 4, 2, 0, 297402, 1.0, 7.989903040801699, 3610326078, 1895301044
200, 1, 4, 2, 0, 2077450, 1.0, 7.998878455855102, 3610326078, 1895301044
200, 1, 4, 2, 0, 1822873, 1.0, 7.998543300785658, 3610326078, 1895301044
200, 1, 4, 2, 0, 447797, 1.0, 7.990109675092259, 3610326078, 1895301044
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
200, 1, 4, 2, 0, 2021807, 1.0, 7.9987222036012655, 3610326078, 1895301044
200, 1, 8, 2, 0, 3616, 1.0, 7.899314772493416, 2828415983, 625848636
200, 1, 8, 2, 0, 3030, 1.0, 7.877598974818251, 2828415983, 625848636
200, 1, 8, 2, 0, 4679, 1.0, 7.928927198690985, 2828415983, 625848636
200, 1, 8, 2, 0, 4748, 1.0, 7.930236308134042, 2828415983, 625848636
200, 1, 4, 2, 0, 1748251, 1.0, 7.997103598131766, 3610326078, 1895301044
200, 4, 8, 2, 531, 28, 5.3327481504615335, 3.797902689682947, 3912568961, 3630264318
200, 1, 4, 2, 0, 1399022, 1.0, 7.997682704680241, 3610326078, 1895301044
200, 1, 4, 2, 0, 467640, 1.0, 7.99073928379369, 3610326078, 1895301044
200, 1, 4, 2, 0, 1910135, 1.0, 7.998515011310057, 3610326078, 1895301044
200, 1, 8, 2, 0, 3228, 1.0, 7.716707723646478, 2828415983, 625848636
200, 1, 4, 2, 0, 1382749, 1.0, 7.997840620466758, 3610326078, 1895301044
200, 1, 4, 2, 0, 1332513, 1.0, 7.997575455667106, 3610326078, 1895301044
200, 1, 8, 2, 0, 15415, 1.0, 1.8923850017067385, 2828415983, 625848636
200, 1, 4, 2, 0, 486452, 1.0, 7.99177275663652, 3610326078, 1895301044
200, 1, 4, 2, 0, 6591, 1.0, 7.9491013213793895, 608318526, 2392831996
200, 1, 4, 2, 0, 5251, 1.0, 7.680009933796065, 1886154276, 2392831996
200, 1, 4, 2, 0, 6685, 1.0, 7.9364412516846645, 3608701966, 2392831996
200, 1, 4, 2, 0, 6573, 1.0, 7.943132990270109, 2625269017, 2392831996
200, 1, 4, 2, 0, 1739628, 1.0, 7.998438072743397, 3610326078, 1895301044
200, 64, 4, 2, 0, 0, 1.0, 1.0, 870215471, 3783471725
200, 1, 4, 2, 0, 21895, 1.0, 4.88170450084654, 870215471, 3783471725
200, 1, 4, 2, 0, 8373, 1.0, 7.966088641524266, 1886154276, 2392831996
200, 1, 4, 2, 0, 2554, 1.0, 7.893839335340038, 2625269017, 2392831996
200, 4, 4, 2, 477, 15, 4.918333569411359, 3.106890595608518, 3372757544, 1142969203
200, 1, 4, 2, 0, 24825, 1.0, 4.889402296469265, 870215471, 3783471725
200, 1, 4, 2, 0, 199763, 1.0, 7.99601112485773, 608318526, 2392831996
200, 1, 4, 2, 0, 75044, 1.0, 6.754539916828734, 1886154276, 2392831996
200, 1, 4, 2, 0, 61356, 1.0, 6.471965374159392, 2625269017, 2392831996
200, 1, 4, 2, 0, 10959, 1.0, 7.97367251607678, 608318526, 2392831996
200, 1, 4, 2, 0, 445, 1.0, 6.550797711790382, 1886154276, 2392831996
200, 1, 4, 2, 0, 1660, 1.0, 7.311308781971634, 2625269017, 2392831996
200, 4, 4, 2, 460, 15, 4.870273814199947, 3.106890595608518, 3372757544, 1142969203
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 608318526, 2392831996
200, 1, 4, 2, 0, 3093, 1.0, 7.91515140952332, 1886154276, 2392831996
200, 1, 4, 2, 0, 1102997, 1.0, 2.282957048081889, 3608701966, 2392831996
200, 1, 4, 2, 0, 9901, 1.0, 7.964490352133954, 2625269017, 2392831996
200, 1, 4, 2, 0, 6838, 1.0, 7.960516172985893, 608318526, 2392831996
200, 1, 4, 2, 0, 19340, 1.0, 7.979125275743575, 1886154276, 2392831996
200, 1, 4, 2, 0, 6947, 1.0, 7.957081380007381, 3847253807, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 2625269017, 2392831996
200, 1, 4, 2, 0, 22194, 1.0, 7.975470783154871, 2830266426, 2392831996
200, 1, 4, 2, 0, 355, 1.0, 6.543378620925787, 608318526, 2392831996
200, 1, 4, 2, 0, 8282, 1.0, 7.965530874959823, 1886154276, 2392831996
200, 1, 4, 2, 0, 6109, 1.0, 7.9428386944122975, 3847253807, 2392831996
200, 1, 4, 2, 0, 1840, 1.0, 7.737811246618788, 2830266426, 2392831996
200, 1, 4, 2, 0, 10494, 1.0, 7.974815540452476, 608318526, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 2625269017, 2392831996
200, 1, 4, 2, 0, 6920, 1.0, 7.956776417103053, 1886154276, 2392831996
200, 1, 4, 2, 0, 24359, 1.0, 7.980634321270691, 3608701966, 2392831996
404, 1, 4, 2, 0, 162, 1.0, 4.5560477631484435, 3847253807, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 2625269017, 2392831996
200, 1, 4, 2, 0, 9957, 1.0, 7.968057470721119, 1886154276, 2392831996
200, 1, 4, 2, 0, 6440, 1.0, 7.950756394525888, 608318526, 2392831996
200, 1, 4, 2, 0, 5434, 1.0, 7.9409152920873405, 2830266426, 2392831996
200, 1, 4, 2, 0, 357, 1.0, 6.423528558533859, 3847253807, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 3608701966, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 2625269017, 2392831996
200, 1, 4, 2, 0, 5248, 1.0, 7.940693479699702, 2830266426, 2392831996
200, 1, 4, 2, 0, 4717, 1.0, 7.93068600590056, 1886154276, 2392831996
200, 1, 4, 2, 0, 8097, 1.0, 7.968027766148963, 608318526, 2392831996
200, 1, 4, 2, 0, 7210, 1.0, 7.668358623322586, 3608701966, 2392831996
404, 1, 4, 2, 0, 162, 1.0, 4.5560477631484435, 3847253807, 2392831996
404, 1, 4, 2, 0, 162, 1.0, 4.5560477631484435, 2625269017, 2392831996
204, 1, 8, 2, 0, 0, 1.0, 1.0, 3912568961, 3630264318
200, 1, 4, 2, 0, 1846, 1.0, 7.792079208416702, 2830266426, 2392831996
200, 1, 4, 2, 0, 6666, 1.0, 7.950465959407229, 608318526, 2392831996
200, 1, 4, 2, 0, 7438, 1.0, 7.963556462769492, 1886154276, 2392831996
200, 1, 4, 2, 0, 988, 1.0, 7.572969217960142, 3608701966, 2392831996
200, 1, 4, 2, 0, 4077, 1.0, 7.919655216201779, 3847253807, 2392831996
200, 1, 4, 2, 0, 1381, 1.0, 7.665449118533144, 1886154276, 2392831996
200, 1, 4, 2, 0, 9665, 1.0, 7.968481051229535, 2830266426, 2392831996
200, 1, 4, 2, 0, 8060, 1.0, 7.9647443578865955, 2625269017, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 608318526, 2392831996
200, 1, 4, 2, 0, 2056, 1.0, 7.857300926474577, 1886154276, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 3608701966, 2392831996
200, 1, 4, 2, 0, 299, 1.0, 6.6450679506196435, 608318526, 2392831996
200, 1, 4, 2, 0, 7386, 1.0, 7.962714812902871, 3847253807, 2392831996
200, 1, 4, 2, 0, 9832, 1.0, 7.976483778296527, 2830266426, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 2625269017, 2392831996
200, 1, 4, 2, 0, 7953, 1.0, 7.9589136509750045, 1886154276, 2392831996
200, 1, 4, 2, 0, 5026, 1.0, 7.925401694539852, 3847253807, 2392831996
200, 64, 4, 2, 0, 0, 1.0, 1.0, 870215471, 3783471725
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 608318526, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 3608701966, 2392831996
200, 1, 4, 2, 0, 3784, 1.0, 7.8990864525013675, 2625269017, 2392831996
200, 1, 4, 2, 0, 9252, 1.0, 7.977463679180564, 2830266426, 2392831996
200, 1, 4, 2, 0, 2627, 1.0, 7.8585616188199126, 1886154276, 2392831996
404, 1, 4, 2, 0, 564, 1.0, 4.729718224208549, 608318526, 2392831996
200, 1, 4, 2, 0, 7298, 1.0, 7.95657340391485, 3847253807, 2392831996
200, 1, 4, 2, 0, 3509, 1.0, 4.76239973080228, 870215471, 3783471725
200, 1, 4, 2, 0, 461, 1.0, 7.0451603630632755, 3608701966, 2392831996
200, 1, 4, 2, 0, 7041, 1.0, 7.958811097801081, 2625269017, 2392831996
404, 1, 4, 2, 0, 162, 1.0, 4.5560477631484435, 1886154276, 2392831996
200, 1, 4, 2, 0, 4807, 1.0, 7.934922868202657, 2830266426, 2392831996
200, 1, 4, 2, 0, 2125, 1.0, 7.808588261561473, 3847253807, 2392831996
200, 1, 4, 2, 0, 4351, 1.0, 7.900142936733668, 608318526, 2392831996
200, 1, 8, 2, 0, 7657, 1.0, 7.366753475325964, 3776984047, 2916335840
200, 1, 4, 2, 0, 51212, 1.0, 7.975023539346124, 1886154276, 2392831996
200, 1, 4, 2, 0, 78724, 1.0, 7.990142068573029, 2830266426, 2392831996
200, 1, 4, 2, 0, 50355, 1.0, 7.97197166827643, 2625269017, 2392831996
200, 1, 4, 2, 0, 10584, 1.0, 7.971166168278942, 3847253807, 2392831996
200, 1, 4, 2, 0, 10708, 1.0, 7.968242516342831, 608318526, 2392831996
200, 1, 4, 2, 0, 601088, 1.0, 7.996772248687964, 3608701966, 2392831996
200, 1, 4, 2, 0, 10843, 1.0, 7.972509198691062, 3847253807, 2392831996
200, 1, 4, 2, 0, 10080, 1.0, 7.959749279558803, 1886154276, 2392831996
200, 1, 4, 2, 0, 10057, 1.0, 7.9676852660797595, 2830266426, 2392831996
200, 1, 4, 2, 0, 10310, 1.0, 7.962707491321161, 2625269017, 2392831996
